name,region,variety,rating,notes

3 Rings Reserve Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,96.0,"Vintage Comments : Classic Barossa vintage conditions. An average wet Spring followed by extreme heat in early February. Occasional rainfall events kept the vines in good balance up to harvest in late March 2004. Very good quality coupled with good average yields. More than 30 months in wood followed by six months tank maturation of the blend prior to bottling, July 2007. "

Abreu Vineyards Cappella 2007,"Napa Valley, California",Red Wine,96.0,"Cappella is a proprietary blend of two clones of Cabernet Sauvignon with Cabernet Franc, Petit Verdot and Merlot. The gravelly soil at Cappella produces fruit that is very elegant in structure. The resulting wine exhibits beautiful purity of fruit with fine grained and lengthy tannins. "
Abreu Vineyards Howell Mountain 2009,"Howell Mountain, Napa Valley, California",Red Wine,98.0,"As a set of wines, it is hard to surpass the four cuvees from the estate vineyards of David Abreu. As I have written many times in the past, all of these wines are truly world-class efforts that stand alongside proprietary red wines made from Bordeaux varietals from any appellation in the world. "

Abreu Vineyards Las Posadas Howell Mountain 2012,"Howell Mountain, Napa Valley, California",Red Wine,99.0,"At about 2000 feet elevation, Las Posadas sits above the fog line, surrounded by a protected forest of fir and pine. Red Aiken soils are layered over white tufa, and the rocks that littered the site before it was planted now form walls defining the property."
Abreu Vineyards Madrona Ranch 1993,"Napa Valley, California",Red Wine,96.0,Abreu Madrona Ranch is a blend of Cabernet Sauvignon and Cabernet Franc with accents of Merlot and Petit Verdot. The wine is aged in 100% new French oak for two years and receives an addition two years of bottle age prior to release.
Abreu Vineyards Thorevilos 2009,"Napa Valley, California",Red Wine,98.0,"The blend for this cuvee is generally an intriguing combination of Cabernet Sauvignon, Cabernet Franc and the rest Petit Verdot with just a tiny dollop of Merlot. "

